lid,city,state
219   ,"Gloucester City","NJ"
220   ,"Gloucester Township","NJ"
221   ,"Godfrey","IL"
222   ,"Goleta","CA"
223   ,"Goodlettsville","TN"
224   ,"Granite City","IL"
225   ,"Green Lane","PA"
226   ,"Green Park","MO"
227   ,"Green Valley","AZ"
228   ,"Greenbrier","TN"
229   ,"Greenfield","IN"
230   ,"Greenville","DE"
231   ,"Greenwood","IN"
232   ,"Gretna","LA"
233   ,"Gulfport","FL"
234   ,"Gwynedd Valley","PA"
235   ,"Haddon Heights","NJ"
236   ,"Haddon Township","NJ"
237   ,"Haddon Twp","NJ"
238   ,"Haddonfield","NJ"
239   ,"Hainesport","NJ"
240   ,"Hamilton Township","NJ"
241   ,"Hamilton","NJ"
242   ,"Hammonton","NJ"
243   ,"Harahan","LA"
244   ,"Harleysville","PA"
245   ,"Harrison Township","NJ"
246   ,"Harvey","LA"
247   ,"Hatboro","PA"
248   ,"Hatfield","PA"
249   ,"Haverford","PA"
250   ,"Havertown","PA"
251   ,"Hazelwood","MO"
252   ,"Hendersonville","TN"
253   ,"Hermitage","TN"
254   ,"Hernando Beach","FL"
255   ,"High Ridge","MO"
256   ,"Hillsborough County","FL"
257   ,"Hilltop","NJ"
258   ,"Hockessin","DE"
259   ,"Holicong","PA"
260   ,"Holiday","FL"
261   ,"Holland Southampton","PA"
262   ,"Holland","PA"
263   ,"Holmes","PA"
264   ,"Horsham","PA"
265   ,"Hudson","FL"
266   ,"Hulmeville","PA"
267   ,"Huntingdon Valley","PA"
268   ,"Imperial","MO"
269   ,"Indian Rocks Beach","FL"
270   ,"Indian Shores","FL"
271   ,"Indianapolis ","IN"
272   ,"Indianapolis","IN"
273   ,"Inglewood","TN"
274   ,"Isla Vista","CA"
275   ,"Ivyland","PA"
276   ,"Jamison","PA"
277   ,"Jefferson","LA"
278   ,"Jeffersonville","PA"
279   ,"Jenkintown","PA"
280   ,"Jennings","MO"
281   ,"Joelton","TN"
282   ,"Kalispell","MT"
283   ,"Kenner","LA"
284   ,"Kenneth City","FL"
285   ,"Kenneth","FL"
286   ,"Kennett Square","PA"
287   ,"Kimberton","PA"
288   ,"King Of Prussia","PA"
289   ,"King of Prussia","PA"
290   ,"Kingston Springs","TN"
291   ,"Kirkwood","MO"
292   ,"Kulpsville","PA"
293   ,"LARGO","FL"
294   ,"LOWER PROVIDENCE","PA"
295   ,"La Vergne","TN"
296   ,"Ladue","MO"
297   ,"Lafayette Hill","PA"
298   ,"Lahaska","PA"
299   ,"Lambertville","NJ"
300   ,"Land O Lakes","FL"
301   ,"Land O' Lakes","FL"
302   ,"Land O'Lakes","FL"
303   ,"Land o lakes","FL"
304   ,"Langhorne","PA"
305   ,"Lansdale ","PA"
306   ,"Lansdale","PA"
307   ,"Lansdowne","PA"
308   ,"Largo","FL"
309   ,"Laurel Springs","NJ"
310   ,"Lawnside","NJ"
311   ,"Lawrence Township","IN"
312   ,"Lawrence Township","NJ"
313   ,"Lawrence","IN"
314   ,"Lawrence","NJ"
315   ,"Lebanon","IL"
316   ,"Lebanon","TN"
317   ,"Lemay","MO"
318   ,"Lester","PA"
319   ,"Levittown","PA"
320   ,"Limerick","PA"
321   ,"Lindenwold","NJ"
322   ,"Linwood","PA"
323   ,"Lionville","PA"
324   ,"Lithia","FL"
325   ,"Logan Township","NJ"
326   ,"Lula Lula","HI"
327   ,"Luling","LA"
328   ,"Lumberton","NJ"
329   ,"Lutz","FL"
330   ,"MADISON","TN"
331   ,"Madeira Beach","FL"
332   ,"Madison","TN"
333   ,"Magnolia","NJ"
334   ,"Malaga","NJ"
335   ,"Malvern","PA"
336   ,"Manayunk","PA"
337   ,"Manchester","MO"
338   ,"Mansfield","NJ"
339   ,"Mantua Township","NJ"
340   ,"Mantua","NJ"
341   ,"Maple Glen","PA"
342   ,"Maple Shade Township","NJ"
343   ,"Maple Shade","NJ"
344   ,"Maplewood","MO"
345   ,"Marana","AZ"
346   ,"Marcus Hook","PA"
347   ,"Marlborough","MO"
348   ,"Marlton","NJ"
349   ,"Marrero","LA"
350   ,"Maryland Heights","MO"
351   ,"Maryville","IL"
352   ,"Mascoutah","IL"
353   ,"Mc Cordsville","IN"
354   ,"McCordsville","IN"
355   ,"Medford","NJ"
356   ,"Media","PA"
357   ,"Melrose Park","PA"
358   ,"Mendenhall","PA"
359   ,"Meraux","LA"
360   ,"Mercerville","NJ"
361   ,"Merchantville","NJ"
362   ,"Meridian ","ID"
363   ,"Meridian","ID"
364   ,"Merion Station","PA"
365   ,"Metairie","LA"
366   ,"Millstadt","IL"
367   ,"Milmont Park","PA"
368   ,"Monroe Township","NJ"
369   ,"Mont Clare","PA"
370   ,"Montecito","CA"
371   ,"Montgomeryville","PA"
372   ,"Moorestown","NJ"
373   ,"Mooresville","IN"
374   ,"Morrisville","PA"
375   ,"Morton","PA"
376   ,"Mount Ephraim","NJ"
377   ,"Mount Holly","NJ"
378   ,"Mount Juliet","TN"
379   ,"Mount Laurel Township","NJ"
380   ,"Mount Laurel","NJ"
381   ,"Mount Lemmon","AZ"
382   ,"Mt Juliet","TN"
383   ,"Mt Laurel Twp","NJ"
384   ,"Mt Laurel","NJ"
385   ,"Mt. Juliet","TN"
386   ,"Mt. Laurel","NJ"
387   ,"Mullica Hill","NJ"
388   ,"NEW ORLEANS","LA"
389   ,"NEW PORT RICHEY","FL"
390   ,"NORRISTOWN","PA"
391   ,"NW Edmonton","AB"
392   ,"Narberth","PA"
393   ,"Nashville","TN"
394   ,"Nashville-Davidson metropolitan government (balance)","TN"
395   ,"National Park","NJ"
396   ,"New Britain","PA"
397   ,"New Castle","DE"
398   ,"New Hope","PA"
399   ,"New Orleans","LA"
400   ,"New Palestine","IN"
401   ,"New Port Richey","FL"
402   ,"New Whiteland","IN"
403   ,"Newark","DE"
404   ,"Newfield","NJ"
405   ,"Newport","DE"
406   ,"Newtown Square","PA"
407   ,"Newtown","PA"
408   ,"Noblesville","IN"
409   ,"Nolensville","TN"
410   ,"Normandy","MO"
411   ,"Norristown","PA"
412   ,"North Redington Beach","FL"
413   ,"North Wales","PA"
414   ,"Norwood","PA"
415   ,"O Fallon","IL"
416   ,"O'Fallon","IL"
417   ,"O'fallon","IL"
418   ,"Oaklyn","NJ"
419   ,"Oaks","PA"
420   ,"Oakville","MO"
421   ,"Odessa","FL"
422   ,"Old Hickory","TN"
423   ,"Oldsmar","FL"
424   ,"Olivette","MO"
425   ,"Oreland","PA"
426   ,"Oro Valley","AZ"
427   ,"Overland","MO"
428   ,"Ozona","FL"
429   ,"PHILA","PA"
430   ,"Palm Harbor","FL"
431   ,"Palmetto","FL"
432   ,"Palmyra","NJ"
433   ,"Paoli","PA"
434   ,"Paulsboro","NJ"
435   ,"Pemberton","NJ"
436   ,"Penndel","PA"
437   ,"Penns Grove","NJ"
438   ,"Pennsauken Township","NJ"
439   ,"Pennsauken","NJ"
440   ,"Pennsburg","PA"
441   ,"Pennsville Township","NJ"
442   ,"Pennsville","NJ"
443   ,"Perkasie","PA"
444   ,"Perkiomenville","PA"
445   ,"Philadelphia","PA"
446   ,"Philadephia","PA"
447   ,"Phoenixville","PA"
448   ,"Pike Creek","DE"
449   ,"Pine HIll","NJ"
450   ,"Pine Hill","NJ"
451   ,"Pinecrest West Park","FL"
452   ,"Pinellas Park","FL"
453   ,"Pineville","PA"
454   ,"Pipersville","PA"
455   ,"Pitman","NJ"
456   ,"Pittsgrove Township","NJ"
457   ,"Pittsgrove","NJ"
458   ,"Plainfield","IN"
459   ,"Plant City","FL"
460   ,"Pleasant View","TN"
461   ,"Plumsteadville","PA"
462   ,"Plymouth Meeting","PA"
463   ,"Pontoon Beach","IL"
464   ,"Port Richey","FL"
465   ,"Pottstown","PA"
466   ,"Primos","PA"
467   ,"Prospect Park","PA"
468   ,"Quakertown","PA"
469   ,"Quinton","NJ"
470   ,"RENO","NV"
471   ,"Radnor","PA"
472   ,"Red Hill","PA"
473   ,"Redington Shores","FL"
474   ,"Reno","NV"
475   ,"Richboro","PA"
476   ,"Richmond Heights","MO"
477   ,"Ridley Park","PA"
478   ,"River Ridge","LA"
479   ,"Riveridge","LA"
480   ,"Riverside","NJ"
481   ,"Riverton","NJ"
482   ,"Riverview","FL"
483   ,"Rock Hill","MO"
484   ,"Rockledge","PA"
485   ,"Rosemont","PA"
486   ,"Rosewood Heights","IL"
487   ,"Roslyn","PA"
488   ,"Royersford","PA"
489   ,"Runnemede","NJ"
490   ,"Rural Hill","TN"
491   ,"Ruskin","FL"
492   ,"ST LOUIS","MO"
493   ,"ST. Louis","MO"
494   ,"Safety Harbor","FL"
495   ,"Sahuarita","AZ"
496   ,"Saint Albert","AB"
497   ,"Saint Ann","MO"
498   ,"Saint Bernard","LA"
499   ,"Saint Charles","MO"
500   ,"Saint Louis","MO"
501   ,"Saint Pete Beach","FL"
502   ,"Saint Petersburg","FL"
503   ,"Saint Rose","LA"
504   ,"Saintt Petersburg","FL"
505   ,"Salem","NJ"
506   ,"San Antonio","FL"
507   ,"Santa Barbara","CA"
508   ,"Sappington","MO"
509   ,"Schwenksville","PA"
510   ,"Scott Air Force Base","IL"
511   ,"Secane","PA"
512   ,"Seffner","FL"
513   ,"Sellersville","PA"
514   ,"Seminole","FL"
515   ,"Sewell","NJ"
516   ,"Shamong","NJ"
517   ,"Sharon Hill","PA"
518   ,"Sherwood Park","AB"
519   ,"Shiloh","IL"
520   ,"Shrewsbury","MO"
521   ,"Sicklerville","NJ"
522   ,"Silverdale","PA"
523   ,"Skippack Village","PA"
524   ,"Skippack","PA"
525   ,"Smithton","IL"
526   ,"Smyrna","TN"
527   ,"Somerdale","NJ"
528   ,"Souderton","PA"
529   ,"South Cinnaminson","NJ"
530   ,"South Pasadena","FL"
531   ,"Southampton Township","NJ"
532   ,"Southampton","NJ"
533   ,"Southampton","PA"
534   ,"Southeast Edmonton","AB"
535   ,"Southport","IN"
536   ,"Southwest Philadelphia","PA"
537   ,"Southwest Tampa","FL"
538   ,"Spanish Springs","NV"
539   ,"Sparks","NV"
540   ,"Speedway","IN"
541   ,"Spring City","PA"
542   ,"Spring Hill","FL"
543   ,"Spring House","PA"
544   ,"Springfield","PA"
545   ,"Springfield","TN"
546   ,"St Albert","AB"
547   ,"St Ann","MO"
548   ,"St Charles","MO"
549   ,"St Louis Downtown","MO"
550   ,"St Louis","MO"
551   ,"St Pete Beach","FL"
552   ,"St Pete","FL"
553   ,"St Petersburg","FL"
554   ,"St. Albert","AB"
555   ,"St. Ann","MO"
556   ,"St. Charles","MO"
557   ,"St. Louis","MO"
558   ,"St. Pete Beach","FL"
559   ,"St. Petersburg","FL"
560   ,"St. Rose","LA"
561   ,"St.Ann","MO"
562   ,"St.Louis","MO"
563   ,"St.Petersburg","FL"
564   ,"St.Rose","LA"
565   ,"Stratford","NJ"
566   ,"Summerland","CA"
567   ,"Sun City Center","FL"
568   ,"Sun City","FL"
569   ,"Sun Valley","NV"
570   ,"Sunset Hills","MO"
571   ,"Swansea","IL"
572   ,"Swarthmore","PA"
573   ,"Swedesboro","NJ"
574   ,"TAMPA","FL"
575   ,"TUCSON","AZ"
576   ,"Tabernacle","NJ"
577   ,"Talleyville","DE"
578   ,"Tampa Bay","FL"
579   ,"Tampa","FL"
580   ,"Tarpon Springs","FL"
581   ,"Tarpon springs","FL"
582   ,"Telford","PA"
583   ,"Temple Terr","FL"
584   ,"Temple Terrace","FL"
585   ,"Terrytown","LA"
586   ,"Thonosassa","FL"
587   ,"Thonotosassa","FL"
588   ,"Thorndale","PA"
589   ,"Thorofare","NJ"
590   ,"Tierra Verde","FL"
591   ,"Tinicum","PA"
592   ,"Titusville","NJ"
593   ,"Town And Country","MO"
594   ,"Town and Country","MO"
595   ,"Town n Country","FL"
596   ,"Trainer","PA"
597   ,"Trappe","PA"
598   ,"Treasure Island","FL"
599   ,"Tren","NJ"
600   ,"Trenton","NJ"
601   ,"Trevose","PA"
602   ,"Trinity","FL"
603   ,"Trolley Square","DE"
604   ,"Trooper","PA"
605   ,"Troy","IL"
606   ,"Tucson","AZ"
607   ,"Turnersville","NJ"
608   ,"Tuscon","AZ"
609   ,"Twin Oaks","MO"
610   ,"Twn N Cntry","FL"
611   ,"Unionville","PA"
612   ,"University City","MO"
613   ,"Upper Chichester","PA"
614   ,"Upper Darby","PA"
615   ,"Upper Gwynedd","PA"
616   ,"Upper Pittsgrove","NJ"
617   ,"Vail","AZ"
618   ,"Vail","CO"
619   ,"Valencia West","AZ"
620   ,"Valley Park","MO"
621   ,"Valrico","FL"
622   ,"Verdi","NV"
623   ,"View","TN"
624   ,"Villanova","PA"
625   ,"Vincentown","NJ"
626   ,"Vineland","NJ"
627   ,"Violet","LA"
628   ,"Virginia City","NV"
629   ,"Voorhees Township","NJ"
630   ,"Voorhees","NJ"
631   ,"W Cherry Hill","NJ"
632   ,"W.Chester","PA"
633   ,"WEST CHESTER","PA"
634   ,"Warminster","PA"
635   ,"Warrington","PA"
636   ,"Warson Woods","MO"
637   ,"Washington Crossing","PA"
638   ,"Washington Township","NJ"
639   ,"Washington Twp","NJ"
640   ,"Waterloo","IL"
641   ,"Wayne","PA"
642   ,"Webster Groves","MO"
643   ,"Wenonah","NJ"
644   ,"Wesley Chapel","FL"
645   ,"Wesley chapel","FL"
646   ,"West Berlin","NJ"
647   ,"West Chester","PA"
648   ,"West Conshohocken","PA"
649   ,"West Deptford Townsh","NJ"
650   ,"West Deptford","NJ"
651   ,"West Edmonton","AB"
652   ,"West Mount Holly","NJ"
653   ,"West Point","PA"
654   ,"Westampton Township","NJ"
655   ,"Westampton","NJ"
656   ,"Westchase","FL"
657   ,"Westmont - Haddon Towsship","NJ"
658   ,"Westmont","NJ"
659   ,"Westtown","PA"
660   ,"Westville","NJ"
661   ,"Westwego","LA"
662   ,"White House","TN"
663   ,"Whiteland","IN"
664   ,"Whitestown","IN"
665   ,"Williamstown","NJ"
666   ,"Willingboro Township","NJ"
667   ,"Willingboro","NJ"
668   ,"Willow Grove","PA"
669   ,"Wilmington Manor","DE"
670   ,"Wilmington","DE"
671   ,"Wimauma","FL"
672   ,"Winslow Township","NJ"
673   ,"Wood River","IL"
674   ,"Woodbury Heights","NJ"
675   ,"Woodbury","NJ"
676   ,"Woodlyn","PA"
677   ,"Woodson Terrace","MO"
678   ,"Woodstown","NJ"
679   ,"Woolwich Twp","NJ"
680   ,"Woolwich Twp.","NJ"
681   ,"Worcester","PA"
682   ,"Wrightstown","PA"
683   ,"Wyncote","PA"
684   ,"Wyndlake Condominium","FL"
685   ,"Wyndmoor","PA"
686   ,"Wynnewood","PA"
687   ,"Yardley","PA"
688   ,"Yeadon","PA"
689   ,"Zephyrhills","FL"
690   ,"Zieglerville","PA"
691   ,"Zionsville","IN"
692   ,"erdenheim","PA"
693   ,"indianopolis","IN"
694   ,"lawrence","IN"
695   ,"reno","NV"
696   ,"tucson","AZ"
697   ,"wilmington","DE"
