pid,rowNum,caption,label
"""h78KNkUSalTgw-0hRMrYKg""",104,Buldak,food
"""aC0EVb1J-7CSnOkmv3b0yA""",105,NULL,food
"""OII8c75MFx4oT37SW1B5fw""",106,Draft beer,inside
"""fBgg-cMpGr3-YKtM46bikQ""",107,Emmy Squared Gulch Nashville - The Emmy,food
"""29flDG-4AX-hDeCzzKxgwA""",108,NULL,inside
"""n6kh5P_64BsKSC-04OhKbQ""",109,NULL,inside
"""ca97VV0Z3KqN9NqIzu-TgA""",110,We had a 30 minute wait on a Saturday morning,outside
"""uIy2pnooBdbzTtQoI1aArA""",111,Red Snapper,food
"""z9b2uLbAHw09wP3tk9-XIw""",112,Chicken fettuccine,food
"""py0xx9WGjjt33A2YGjQSgQ""",113,NULL,food
"""tK_QGxUSi6XtmkUFApbKLA""",114,NULL,food
"""Y-ANCED9a6-lY9cT0ybMjw""",115,Shanghai crabmeat and port soup dumplings,food
"""OKR58HrRZueHsZFSWAT1Vw""",116,Chicken Caesar Salad,food
"""bp6l3qCPanwmmoliCMI_MQ""",117,NULL,food
"""vkfcGdEpc_dOdJhuLU5UiQ""",118,NULL,inside
"""ItCnim2wIw_DKzIW2jUAkA""",119,The owner cooking up a storm,inside
"""YfupMs0sBkhCfRyr-i6aUw""",120,"Homemade Chicken Pot Pie: Scratch-made cream sauce, vegetables, chicken, light flaky crust. Served with a house salad.",food
"""iQXz2NYuejtwRSvkv3bLVw""",121,Pour over of Ecuador by Switchback,drink
"""rCE0BY_FFFblXBcq87Vg1Q""",122,NULL,food
"""Gtt10Yv5sWpmQP3QxggDJA""",123,NULL,drink
"""5Y1GclwiAE-cvWCj6Gtfug""",124,NULL,inside
"""zgMELAPWiyNVUDUCTKoVUA""",125,NULL,food
"""BPQO19mccgVAo2YXoUd-Hg""",126,One side of our dining room.,inside
"""evZ2q3swWhAUJoPe8-SSUw""",127,Banana bread pancakes!,food
"""an6CmXpHX-cXWSoZlByjzw""",128,NULL,food
"""KjticsrHJSK2wTKJ02hDlg""",129,NULL,outside
"""L5lwhaiANQtmeZJEXJDqxw""",130,NULL,food
"""FZZXHmADsGVlqqZpFQdorQ""",131,NULL,food
"""1vziAR17tDIERh-8Tjzapg""",132,Basil Hayden's Neat *Bourbon Bash Event*,drink
"""-s4J07Y3dqlRBK_q2bo7nw""",133,NULL,inside
"""_8JYPprSU90KTr2ix6mtPg""",134,NULL,food
"""PBwC1lSV_1X4IfXqycIh3w""",135,Only the ladies dance,inside
"""2I612rV7zUpFRSunRURAcw""",136,NULL,food
"""0YIINMovk1MutRrToIr9hA""",137,NULL,food
"""lJlxkJyjFCXbzM88C_0cWA""",138,NULL,food
"""Kvz-jVXg5evIhkGkdKmONA""",139,Outside Sign,outside
"""HzU-OxV-06DYnkkYMiUqIg""",140,Cafe,inside
"""LRn53FRQcWMk0koGTcxS7A""",141,NULL,menu
"""4J-x30KaDhFvka-giWr3qg""",142,Smoked Half Chicken,food
"""RVO0WlblczSSUOIeWp2BGg""",143,NULL,food
"""ixxwsq6Vfv3GDxFIH5p15w""",144,NULL,inside
"""eNlLx7-cVm5GhPyLripQAw""",145,Dinner #2. Get the crawfish. And the pork hocks. And the crab. And the corn.,food
"""mFxnzzLRDPghXNYMnw7IAA""",146,Breads,inside
"""p-OvAvFNSNLM8Mn2xg8wAw""",147,Drink menu,inside
"""doIRNVCagugL0jghf1Xytg""",148,NULL,food
"""4XvjNv1nW2oIuhnhdyuW7w""",149,Caprese burger and fries,food
"""-dVckTmNyQvh9kLHh73xEg""",150,Market Vegetables,food
"""gkBFccptdCUZvHnvNF2qZA""",151,mussel,food
"""qmkDwwa5gu5Vo-PVaWCGaw""",152,NULL,food
"""NMAL96_bsCiQUptHZ45G7g""",153,Vegetable hot pot and beef hot pot,food
"""DF0qI7PMzXAtmfC6fWinaQ""",154,NULL,food
"""_EWsgPWn0Gvr2QPpynssRA""",155,NULL,outside
"""cW09ZIfrQmYZPaipfft-Nw""",156,new menu,menu
"""mJy_7wPSGHWTPQKC1vZUvA""",157,NULL,food
"""d1MLzl8l5B9s8CXr0Xgbpw""",158,"Spicy Tuna, Philadelphia, and Rittenhouse roll.",food
"""--zScnI03KioBVMtcOK6oQ""",159,Louisiana area 3. Queen bess. And Alabama turtleback,food
"""nmjPHR9xbNa0XZB0JR5b7g""",160,Saturday at the Fi // HiFi // DJ Dibs 6.8.2019,inside
"""JYayhKqYCZQcLk086p_sjg""",161,NULL,inside
"""U2uAYOjAdaAmaBtOFDfpqQ""",162,NULL,food
"""L8pzXm8S4scf0KstcKfEgA""",163,NULL,inside
"""UTrTN1YbytLxAVwL4sTGeQ""",164,Water,inside
"""6b3a9HevSg-WWpn_-5jn9w""",165,NULL,food
"""u8D_1QPVrsKf-86uK5SKEQ""",166,NULL,food
"""_SLGjgXoqwa17n2TMojFzw""",167,"""Italian Inspired Wraps"", Impasto Food Truck, Tampa",outside
"""Gxv5SLnWpDAozk2UojGjdQ""",168,NULL,food
"""LYVhdhdIs2PyCUmZbSMaFw""",169,NULL,inside
"""sx31wmZkV3mdG9G5Q8pQjw""",170,Good place to wet my whistle,outside
"""G4Z57XaklqFeLAXaA8Yq5Q""",171,Caesar salad,food
"""pQ6cQFKlBQtxGqcRynuVuA""",172,NULL,food
"""gJkJzZiKPz8V-n0iY2L3WQ""",173,Seafood Okra Gumbo (Cup),food
"""X7YrEdTDnnu58UnR_y1LSA""",174,NULL,drink
"""likzFzddI_GWvpns58ThwQ""",175,NULL,food
"""sKUxh88uAmHkCepOe5e7ww""",176,Chocolate Porter,drink
"""z441s6ycT5tQDnCeBfY_LQ""",177,"The Breakfast Burrito up top, and Maggie's Breakfast below. Filling, comforting and delicious.",food
"""fZ71yr3PAJf3hwc-xrKNyA""",178,Egg!,food
"""xyxRQO3R4nKKUsNIx5RKzQ""",179,NULL,drink
"""_DpwABJ70j1NWaPPFQVUlA""",180,Chinese Green Onion Beef,food
"""cOApXKT-Jtl_Fn2BCgi9Jw""",181,NULL,food
"""cx4omrU7G_OT-1A1ul750g""",182,Polka Boy at the Rathskeller,inside
"""FgVOjwgUdxa2vJ6YO7kSCQ""",183,NULL,outside
"""Yhg4lfXDJADK2Q243E_AEA""",184,NULL,food
"""J_Uxet2ujxUvF1T4lbuTzg""",185,NULL,drink
"""WGE1EvO4TXqp_c-aETPswA""",186,NULL,food
"""3c5x3U5yWPEM6UPGMm8I6Q""",187,NULL,outside
"""aZnGqqiIQKYJKotVDvXcOA""",188,Pollolle pizza.,food
"""_vCk2Hs9sqHtV8jSW3D0hQ""",189,Old photos of days gone by,inside
"""sSCXA4ZH81PkcbjFpgmVCQ""",190,The Salon at Paramour,inside
"""JY6hZBHzvbqJ5HJcK9oBAQ""",191,NULL,menu
"""fmoyZJGY8sCPm81UuoY9bg""",192,Salmon and roasted veggies.,food
"""XJmWWI1duUonHxETB0wL9Q""",193,NULL,food
"""pQGzjjY1Xtv4G91kJkcIew""",194,Kimchi,food
"""0zLY5kNpmg1FAxKQZ2L9HA""",195,NULL,food
"""WmKJipbjxbw87lBrd2a7Lw""",196,He loved the Chicken Gyoza,drink
"""ekg-kSHne_3yjkidOgMoKA""",197,Strawberry French toast with white chocolate,food
"""i9AtkbwTqY4-qn2jVlfoZQ""",198,"My kiddo even said ""Whoa Mom! That looks soooooo good!""",outside
"""37i8s5fmo1THJ05nqceXsA""",199,NULL,drink
"""1uWPve6fVhBS6z5C4AZO0A""",200,Corner workspace,inside
"""o15A2fGq7Nq3zAplOqtalg""",201,Mezcal Cocktail 1,drink
"""N7TrSYktfErLJXF8v-43Jw""",202,*1/4 Chicken Breast Wing,food
"""gz2rrgXjFr3aR4nqQR51fA""",203,Mango gazpacho,food
"""RvFWPDSvNUfTCbnjVvg7gw""",204,From the back...,inside
"""6vtp5IbzksE0IcQfnHu-mg""",205,NULL,inside
"""jbiMLg7IZkq_l_k3nIMH0A""",206,Outside,inside
"""I7pyDYnmsBQmjwoyQA9dDQ""",207,NULL,food
"""7V1dVWyi6BjZrrIE3eCe6g""",208,NULL,inside
"""l6aEQVGOIhv7kRILtU397A""",209,NULL,inside
"""nRZA8mPAOMC4Fq0IRuZUhw""",210,Chuleta. My favorite!,food
"""svcEHd0CN-Rfhxm6o-s_qQ""",211,Hamburguesa Torta,food
"""6Aksi6ZeUV3SSv5HNAtxgA""",212,NULL,inside
"""CSBrDgEwrbozUVFFcYfWuw""",213,NULL,outside
"""XHP2zF4SGxXQZWMCd76zNw""",214,NULL,inside
"""UaZ9Ukr9M8C35HuWXtdMZg""",215,Main dining room,inside
"""VuC0nH7LnZllL-aydmYsZA""",216,NULL,food
"""A3ht2f4FI2wHxw4xBfZXfQ""",217,"Flyin' Hawaiian: Hand Pattied 1/3lb ground chicken burger with provolone, pineapple, kickin slaw, tomato and teriyaki sauce on Texas Toast",food
"""MsPFWeWV3tZ8Ml7oR2HgpA""",218,Lentils and Kale,food
"""XJJvYgRCoI4zOv3oMc_V3A""",219,NULL,inside
"""cdtcZOjQVKZNtg_dtcmglg""",220,NULL,food
"""550HvbbkuMUc3wodouZagA""",221,NULL,drink
"""nY-zRYnL-INX2MKM_N51qA""",222,New wall paint and decor,inside
"""dySoxik7Aeci1FuMWXCS0Q""",223,Inside of restaurant~,inside
"""ekXjCRzEGZWuAUV5mI6DEA""",224,NULL,outside
"""l9yhPe7SB3yQxaQuvoLm7g""",225,NULL,food
"""KfsvT9lT9TAFW5RtJW4Bag""",226,Little Basil/Levittown Kitchen,inside
"""CnLqQ5v22NTPOnA4PtKV5A""",227,Matcha passion fruit cupcake,food
"""YLrmle5p7HU75ar3FlSEOA""",228,Reminds me of festivities in India..,inside
"""8QBq7fmtSAdT7VD4Tt9Ayg""",229,NULL,inside
"""Ms0frJ_xZNKuNSklhyHpXA""",230,Oh the state bird,outside
"""1TKu4lCgzP5TEOJmYirESg""",231,NULL,food
"""9hsDXpaAG0oPY_hI7kt-7A""",232,NULL,food
"""K6-QGgweDKWL4mg6B54vsw""",233,NULL,inside
"""SLhxEjLOI6aclzYr3L5Nwg""",234,NULL,inside
"""BKe0fptjqauWP-ZHEhLTPg""",235,J Dawg with Garlic Fries,food
"""vC9NltOiLy0ZuDMUNc3l3Q""",236,Coban kavurma,food
"""jakOup1yGXmmIXWbx1iCqQ""",237,Gluten Free Margarita on Cauliflower Pizza Crust,food
"""K30Pe4eZqH9UF_IO2lanFA""",238,NULL,food
"""FgRXeZKOHgBeNGt15unaKw""",239,NULL,food
"""ImJl5NtsGKMero5KGIY7-w""",240,Bar section,inside
"""tEv4_2iC6HS3STpPxxGmeg""",241,The Butchertown Burger,food
"""ul2x-EQiPKgC8cfIZK38IQ""",242,NULL,inside
"""wKPQzmoShHzJKbesKtghFw""",243,NULL,food
"""glPAZoWnzcDbFRDqqbqc8Q""",244,NULL,food
"""0KmOOiLhhMEDV3BDAj66cw""",245,NULL,food
"""S9pdPe3U6TlITNKTAabC8Q""",246,Dexter,food
"""gFDKi7w319lY1TYaCJEXxg""",247,Jerk chicken breast,food
"""p2Z6GWp6JOB4tG3Sj2DLWQ""",248,NULL,food
"""V_DyZOiwJ-artaJVTaPlcQ""",249,Outside,outside
"""jn07-L18ECJXFvLBj3rkVQ""",250,NULL,inside
"""UQWEbSQJBTxXb8wal5mBhw""",251,Vegan sushirrito I built,food
"""R9rjxQ9hGFAY0M0q-MIh-Q""",252,Cubanito $5.50,food
"""45Fxx_16g-OQ4Y7RxWUl3g""",253,"Yellowtail sushi is so smooth, sensually satin-like and satisfying snappy!",food
"""Uj0NBAfNYyhBSk0fjGJeRw""",254,Seafood Special,food
"""NaQm0HCTFEB7VoHue8m5Mw""",255,NULL,food
"""-Zw9JqGQRYzkPrV_QUzMvw""",256,NULL,food
"""etb7p3ZwnWlO64G3O4KESg""",257,Mojito,drink
"""RsW5i8Fp3a4l3sFHSKcHjg""",258,NULL,drink
"""oDWP0uyQtpCTsOYNQ1txLA""",259,NULL,food
"""w4rDnaUTT06TSFMrvxj7CQ""",260,view from our table at the upstairs dining area,outside
"""C6Jhk4ei2BhBj_YIJUpIxg""",261,NULL,inside
"""UJQFcgvdjNKyfhPFpJJMpw""",262,NULL,inside
"""a49CvkFgllhcWtRA8aK3pQ""",263,"Burrata Caprese 
 heirloom tomatoes, pistachio-basil pesto, aged balsamic, Maldon sea salt",food
"""SKOHq5ohHE8E_W3L6JuILQ""",264,Sides,food
"""K-HOMnyMN-FpxmefeQLR_w""",265,"Greek Bruchetta, spinach and cheese pastries",food
"""qATlH6q8MxB4IaTAKSP2nA""",266,Pork knuckles,food
"""JUvpqbSbbQudOrgHIf-YZw""",267,Bohemian veg soft taco,food
"""jaDQ29aZPJyTNejpBy0hpA""",268,Chicago Stuffed Pizza with half olives,food
"""7ko3VjI5N07d0r-sLuxmMw""",269,Vegetarian sushi- so delicious!,food
"""KbrBlAaYr93NV6uH13TVUw""",270,Farmhouse,food
"""VF1AatcWlBzKvmShweVfIg""",271,NULL,food
"""6uHR00BoVcCzTTLAQKB_cQ""",272,Nice salsa selection,food
"""q0JUocrXQIRI9EqIQf6w5Q""",273,NULL,inside
"""a2t0hpjSy4ydcTqEbRfiQw""",274,NULL,inside
"""zi99L6JbpEhwB2waXN46LA""",275,Burlesque show!,inside
"""DB1aNWxgeB_Bq1QRFne7Dg""",276,wicked cool,inside
"""7n9LJ_ZWVNgLelSrra8coQ""",277,NULL,food
"""sOhT36bM2LolKFaGEaH-uw""",278,NULL,food
"""CFD24bPmJUxLnw3oiG1j0w""",279,Short Rib Rice Bowl - lunch menu! Amazing!,food
"""TdlEx6yQPSxr1yU5mlqjgQ""",280,NULL,food
"""W3a7niY0nRqwG4hR53dPYQ""",281,"Farm to Bowl salad, GF",food
"""3WMLFx_KR54ftX6YOJwBMw""",282,"Savage 11/30/19: Red and Golden Beets, Salted Lemon",food
"""9f7EdWysjJ1DpAby0CYnAA""",283,"Absolute, never ending, Indian buffet therapy!",food
"""B-jPcA5S8VuseoF13Z53Sg""",284,Everyone at this table loved the food here at Wayfare!,inside
"""E-rvwrNU9anUPnrIIIel8g""",285,NULL,food
"""mZPSRA5K4_NZBYDdOOi7Xg""",286,Loaded Twice Baked Mash,food
"""VraJNIFskfhxyWEA4v9azQ""",287,NULL,outside
"""OZoHmEH_b3cUDpsciaNTeA""",288,Our team - holiday 2020,outside
"""t7a92F7p_Wv1dwHgWk9Puw""",289,CabaRay Showroom,inside
"""8obaLDQauRZnJ80nnp1J4g""",290,NULL,food
"""pzJw2uj2iwzPk95y62W4gg""",291,Italian hoagie Extra onions!,food
"""v_78EMlpaoE9f3aiNftFeA""",292,Chicken Egg Rolls,food
"""UauNU6HiVj7YSrvYwVBCoQ""",293,NULL,food
"""-P7WWX6Fyk4ahFd675gfLQ""",294,Succulent fish stew,food
"""9TBuWhrbW97i51qEqqjhUQ""",295,NULL,outside
"""iawYFpCV1D7Zl7BcE1I11w""",296,Dozen Raw,food
"""iE5O2FUH2aqYZVk7jUSagg""",297,NULL,food
"""jh9mRV15gLE8hvefGFpdqw""",298,NULL,inside
"""2C8l8xrjSoeASS5QcufZsQ""",299,Shish Taouk Platter (pita not shown).  Great seasoning on the chicken and the rice!,food
"""0ltQFHUIWrSQnXCB7x5B5A""",300,NULL,inside
"""VvGzkdYcOkJmZaZkS-nKeA""",301,What we call oyster bar,inside
"""-98Oyfj4cRkQNa5M68iXiw""",302,NULL,inside
"""qwdUYKixFzKpDVY9Sa9hlw""",303,NULL,outside
"""50eH3ShQqbxpqK8CLETY0g""",304,The tasting menu is divine! Get the wine pairing with it and you'll be grateful,food
"""nhvGvLxXGP9NOtZ_nI5rFg""",305,NULL,food
"""j-cSzsYEwtGPJeRx8iQTpQ""",306,NULL,food
"""CvN-NyOCFJa-9uN--VX8WA""",307,NULL,food
"""JI74YQigrsh_O6bAYCs6Ug""",308,NULL,food
"""aV1Q0PW2I31h5AqjNiD4dw""",309,NULL,outside
"""gyPRbxh_TD-zjDh1Eo7byg""",310,NULL,inside
"""R_juhnNu1KHYNhG7BdD4Yg""",311,NULL,food
"""aaqSozaetRhz-OZPd3xONg""",312,Macarons!,food
"""5jzc2NmhYvtTNrcrrDnSKg""",313,Big Cheezy!,food
"""LkCIfkYsKC08UwvEuoAlqQ""",314,NULL,food
"""pm8vfb3jwjv80DRC57A3nQ""",315,NULL,food
"""X0B5fx-ke8F2GzwNYH5W4A""",316,NULL,inside
"""6qlONYibVpMYPoOLO4l9PQ""",317,My guys! Love em,inside
"""-H9upfhTbAN0bX9y-v4t-A""",318,NULL,inside
"""j4WSMPwn5VESWkUw-aU_fw""",319,Dinning area,inside
"""b7DSjqb57iAJVDIAp361og""",320,Buttah,food
"""FC2WgFyS0duP8yamQs62aQ""",321,The Bone Collector was AWESOME!,food
"""rpYmvv8Dt-D3qWuzV-vpEQ""",322,NULL,inside
"""MipOP9kRYsEums5hQb1dgw""",323,NULL,inside
"""XNUdUOGqk3o6SJey3gwzjg""",324,Our Paris-Nashville pastry...inspired by the classic Paris-Brest dessert.,food
"""5xYX7HFiDZoUbBaMGjywxg""",325,NULL,inside
"""VjlbUWuPymL_3qRiamyFdw""",326,NULL,inside
"""9yUPSqEqAAXZE3m2ZCv6PQ""",327,Nasty,food
"""HHzr2ZawcONi5hSrDDWsHA""",328,NULL,food
"""GI3qm2toY_EJxNCO0YCAZw""",329,Ahi Tuna,food
"""qFlQWCKHdkbd_bFHxeC77g""",330,NULL,food
"""wO6Jyld7thn5njxKStoiXQ""",331,"Rocky's, Broomall -- Apolo [sic] Sandwich",food
"""pWH9PubTuMjimIqJ7BOnjw""",332,NULL,food
"""0sXqAmLgXCdGm-CPoTpKZQ""",333,NULL,food
"""hibJf_97FeyBt79uRnmF5w""",334,NULL,food
"""hwNEAE1iN6oFYiKFV6Cy9Q""",335,Good food fun atmosphere!,inside
"""PxZwZBdCB1o-QZ4xI6sYqA""",336,NULL,inside
"""32E9hEGJyu6n0utcGPO5SQ""",337,"Grouper cheek sliders, yum!",food
"""_DEc-3jiCiPDDdvMj4neiw""",338,NULL,inside
"""Upr_YwhB2kkzJ7hvySsBGQ""",339,NULL,outside
"""JQgbr8DqNaC8xPN6Pk9oHg""",340,豆腐丼,food
"""Bo5LyGDIFA4oSqJwgZiRUg""",341,NULL,food
"""lQCJKtKag8iDvoN-EenDrQ""",342,NULL,inside
"""_GVSF7P_j4IstUVO_8Ktlw""",343,NULL,inside
"""y2C51OTu1Vkn4-uEp_6p0Q""",344,NULL,inside
"""k94Hzyebe11AvuAt4M7A5Q""",345,Water melon Mint Margarita,drink
"""mlBpN5pwP5D24MpwNal7Qg""",346,NULL,inside
"""cCLZmPcrXcS40OwmCTHcaA""",347,NULL,food
"""dkMCjG8_dDggGBngiPhcFg""",348,NULL,inside
"""0r775_YWP80j07AJUew-Sg""",349,Wawa Storefront,outside
"""WXYPxxRhPxbv42BdgGIl1A""",350,NULL,inside
"""Kdvc27nhna7-33sDCu7j5A""",351,NULL,inside
"""M9Xb7LoGHo43rwUxmg-3tg""",352,NULL,food
"""X4QH4jZm8Btha8t4iYkZyw""",353,Balcony view,outside
"""jvYr52GEMOv0nt4KDbpxyQ""",354,brick chicken plate off the charts!,food
"""ZY8uFfNsgzDjj2Vo9f-79A""",355,NULL,food
"""QuANx06lLikhkrEPnceebg""",356,"Watch a game, wind down with colleagues or spend time with family.",inside
"""C7rJXnJd_pLBIkXFWyEqjA""",357,"Scallop Tartare with Pickled Butternut Squash, Yogurt & Crispy Sweet Potato",food
"""S4tmjZc3nSQQ-1_Q4WLDaw""",358,NULL,inside
"""5P8QV_oJq4lqrjabFPfMxQ""",359,Checkin,inside
"""E4aL4AfNNFb2nBpRsP5Nyw""",360,December wine of the month,drink
