uid,name,createTime,cools,reviewCount
GG0mFsEXb02_dzFPqRV1Q,Mandy,2011/8/30 13:46,988,754
y9WhhW724xLQ4p_lGQCQkA,Timothy,2009/5/22 1:32,790,341
YUFqbfAePA8tgT2zE2y4xQ,Annie,2008/4/10 2:46,685,191
q31f3uFJsFTNFFolAQkWCQ,Jeremy,2008/2/21 19:33,943,934
k_muz40jJaiY1PVga6NDXA,Louis,2008/6/9 0:16,1047,1070
tGxCbdojFzROxk9oepRgQ,Jeannie,2010/2/27 18:49,14,40
A5696UJqaQMQVtWStQyX9g,Eddie,2009/4/3 22:33,335,179
wKLYI27HlYoI_KpyaLJjw,Donald,2009/11/19 17:33,33,89
WWnhqRnWWjutMqh2SzEuQ,Steph,2008/7/9 6:30,21826,3960
vsikhxSLtMk5APIf9U7C0w,Jay,2010/7/25 14:26,24,62
5exOQK8FRpAfw5S8s2a6gA,Jessica,2009/8/28 17:27,206,216
2OLohmwFrl8ru4w1mUXtyw,Connie,2006/8/31 19:22,398,371
ztVQFPr9khc_TjsBny3rA,Francesca,2009/12/2 18:54,221,414
6T5zXLWfplNlvZ8E3bKjgQ,j,2010/1/3 20:28,7,12
xyad5PXaHTdKrdNClXbMqQ,Christina,2009/1/28 2:15,128,138
Z6yq2cCc27QmssIFKWMdAA,Paul,2010/8/8 0:12,56,107
X5gSx0VieHb_TvwX23y_Jw,Elizabeth,2006/2/5 0:54,230,414
NNyr4wknApjc5nF9QOO2Mg,Melissa,2009/8/27 17:14,274,186
RmXIjppHNtVveguN10iO1g,Kevin,2006/12/29 17:34,12392,1356
7jmAHDHVFTfoJ6v1XL8eHA,Lindsay,2008/11/5 14:25,30,62
rVxwIqGU98GC2xMulsSqw,Jean,2009/1/13 5:12,890,879
pgxbiGCqgNV878Sd_v7XBw,Tim,2010/1/26 19:55,56,33
FlXBpK_YZxLo27jcMdII1w,Mallory,2011/2/21 20:33,1999,1158
uUcNCwf86aea7F9AGFBJNQ,Jae,2010/7/11 14:26,13,143
lT0jFHCIloX3bnF5eu0ERg,Mikey,2009/9/28 15:42,420,262
3hANLGwpP5tXgHOes2XheA,Kimmi,2011/5/16 12:22,328,282
JXbz8URET4T6SWVrDmKWTA,Janelle,2007/1/26 19:22,309,417
rcU7ysY41qGppbw4pQgjqg,Damien,2007/6/30 12:28,11514,2057
kvckI6UzvLVZmd_W7WrsA,Andy,2010/5/16 2:08,2336,812
EiwxlbR8fb68lMgEXhcWKA,Lorrie,2008/11/7 23:53,10187,3113
DihTsliUxbqpoA9W3uRDBA,Abegail,2009/2/2 18:19,4166,897
Wia9sTPJnFWupi3v6hJevQ,Kelly,2009/1/29 2:29,26,75
_KeuaQCbJsZ7cipYpBPxDQ,Jerry,2010/5/21 5:27,10,9
JiUmz7l4rNz4YmOj13i9g,Vicky,2007/12/27 18:26,1450,808
L4Rlr_iHSW_wnemqmksmKw,Shantel,2011/5/24 17:37,2,15
tmQ2UJLn6ktTy5XHRJjivw,Kat,2009/11/5 0:46,138,229
8tj9792w3U7lv_XkErMn4A,Carey,2008/9/19 23:49,189,317
ZIOCmdFaMIF56FRnWr_2A,Randy,2011/1/7 15:20,38093,3315
6snhyTl6iU8ti1EIJuFvQ,Nina,2010/12/28 6:57,3,14
afEBLpcr3rZNVdYnQGf46A,Jayda,2009/7/29 23:57,125,126
4LO6X_jyG5BCo4AD_rtKAA,Kelsi,2010/7/25 18:58,3,14
IyIsFkVY48JWa01inv7zA,Rob,2008/3/27 14:48,6169,2904
OF1Dwu3fWeyNzX2ehlyM3A,Cynthia,2006/5/23 23:36,124,357
a9qfIqE5toA0WgOYTMyw3g,Robert,2011/10/2 18:50,148,141
FyiYuZrIzSkgshdazHZCWw,Evann,2007/3/28 19:06,706,443
SlB83elY01FcSCfzJC1Hg,Aisling,2011/8/28 18:50,2,30
BrFSDMl2V85mW9UtbAeUAg,Edward,2009/11/30 17:48,80,55
u1cvQWB0lB4YsIbtSlUR7g,Barb,2009/11/3 4:56,73,150
NVndhVfffw7ScRKviRdRYw,Sam,2009/1/25 10:05,1837,757
sVr6_vlwixu3VREOO9XpA,Aditya,2007/6/8 12:12,638,404
2pzrdZiY66lRAlqgnPFtRA,Michael,2010/3/6 2:36,211,404
cEDMie5DjE_00sJ23H2q9Q,Eli,2008/11/26 15:48,155,43
y_uBHMh14ZrZ_gvQxxE1Gw,ezekial,2008/1/25 5:52,251,69
g0_x4kVvJAYuk96oCcbOmw,Michael,2009/4/15 12:46,663,455
TEyBBZlGsJD3n7Uc_9VOw,Nathaniel,2010/7/18 14:24,44,47
6MvqMJyxSokCu8YFM1o0A,Jason,2009/10/4 17:59,364,202
vScaSrM91Z43ypSR9VfKGg,Sophia,2010/11/4 3:23,294,205
b76FcjQd1RkpnP6Iajhjw,Lisa,2006/7/31 10:37,374,739
CHeMEder5ijEoCPLWjto_Q,German,2011/10/26 20:46,65,222
_BcWyKQL16ndpBdggh2kNA,Karen,2008/5/29 12:29,9759,4274
IkFjRnnI5trMcwHHl_1Vrg,Sonia,2006/12/4 23:48,265,187
hDsxdlsFEDETRc1YwYHsg,Le,2011/5/5 0:29,17,32
xI11p4t2Co7RwWuBc82lPg,Christopher,2011/10/2 5:49,8,29
cUk4n3GMShdIr5pLyt9PFQ,Susan,2008/9/24 16:53,178,241
HZRfI9weev2Vr_w0jPF8Q,Martha,2008/3/17 4:28,438,208
XVFxHMIRLWiUiHu2I8Zelw,Krystal,2009/10/27 5:30,18,55
141jdTt6RIr9OcJOu5g,Jerry,2009/11/20 22:23,3212,648
4tK3tiB3zggiYudjU9H03g,Andrew,2010/7/12 18:01,71,222
6Dp5uOQAQbOJQ04uSzOpnA,Arnold,2010/5/6 15:44,4,41
kORGcgi0Iw2RG8gJl84MVA,Caroline,2005/5/30 18:57,486,683
kaHmTcEoVS3oQvfJfDe8kg,Collin,2011/4/7 3:02,303,198
upQwDazroow3rjNMW4PZww,texas,2011/1/3 18:36,134,193
ET3TgSSQ3shm2mj5vZ8IVQ,Sara,2007/12/26 21:22,941,297
h0Jn9rkacf3tGw5BeZMHWA,Ramona,2009/3/24 22:44,342,185
iZpzJ9k4dDgBjuC27MbjvQ,Lindsay,2011/1/5 20:46,1034,344
8qIr1_37nsW9QmMNy0sxQA,Carl,2010/1/27 18:33,48,100
DeqKbAFwcyeC5pvRSereQ,Barry,2009/2/19 15:05,253,277
hNFrVwhhCvxdle_3pBwiQ,Donna,2006/8/28 15:23,83,67
OriZprtD3fn9PPHIdQq6Zw,Dayna,2011/4/26 16:50,195,568
gGuAM6Cw1VXJGLssm24ehA,Tiff,2009/3/4 14:41,760,824
gWUDNJ03CKXfqJ_E3wRQ,Erica,2010/4/10 3:28,193,63
AK_jwiwOcW4YUdlhuciQ,Kent,2011/11/14 23:23,3327,1758
KUDH6MpyL7XqxPOj53zdCA,Tim,2008/12/21 19:47,26,14
y3Wtx1pOvTiqsJRkjceXiw,Catherine,2008/12/15 23:29,1216,371
oUK6Xs5dPPnP4whFeZExGg,Wendy,2010/7/15 20:42,1514,834
HwL0cUMC7qghiAKBzMpXg,Amy,2011/2/21 17:24,241,332
VIf9HbtAKcKs4llfD3GQPA,Alex,2009/6/14 4:23,296,300
i7zuRDllj1KTqoSHUayV_w,Brynn,2008/4/17 2:32,436,233
65uUi6TEmNcmbHXvlyGQ,Hungry Viki,2011/1/15 6:13,23,52
PcKcxQupYgmdUk0DHZrSQ,Anna,2012/7/18 15:26,127,294
BDyCY898xb7QexXXJgrEw,Autumn,2010/1/15 18:50,232,155
duihVwxxVm8iD1NVPwiWCA,Mark DM,2011/3/6 14:23,79,37
Xw7ZjaGfr0WNVt6s_5KZfA,Marielle,2010/12/22 9:41,9532,2272
YAIxImxlu3jlSdG91T2Pig,Rachel,2010/12/23 17:26,127,253
pou3BbKsIozfH50rxmnMew,Brett,2012/1/11 17:19,14927,2812
yi8MUcO3O6ALXErrFuj2_A,Molly,2007/9/17 20:47,276,145
Er_1k4cl0VwKz9tfInFBw,Lynn,2010/5/26 17:09,977,508
kS1MQHYwIfD0462PE61IBw,Rob,2007/8/25 1:33,8994,5511
yqHIwF8hQe0zZsvVugIOA,William,2009/9/2 7:49,36,100
EMAmvOht754y2ywOl_fcHw,Leeger,2010/7/2 14:52,7,87
qgbbuhfSkH5_Tna5t9tEA,Clint,2007/6/24 21:30,540,278
wEEYMx5pmSuagLtNxMPKA,Stephanie,2007/8/16 13:41,28814,2000
NqZJMXmwEtirJvxqpyLmQ,Barrett,2010/6/30 15:02,131,287
w0f3twDIXtkYuKUzfy_s5A,Barry,2009/2/2 3:07,8,33
mMzJqiC39EFqIz0pn7XF_g,Julianne,2010/10/1 17:11,197,227
_7rtvm06_fpr9SdiWsjzhA,Neon,2010/6/27 22:18,7,46
vbGGRxKJocP7EQYssUhyw,Becky,2009/12/29 21:46,22,55
YjucbkVI8CQXgmugrBvYg,Ben,2009/5/28 20:06,45,140
BPZEAoU0sB6CFGusTErUuA,Vince,2010/8/22 7:08,9126,1995
9NjyPHg3q0TCJzkVc4L0w,Julian,2007/12/19 19:56,260,258
Rb1yFgZWNnoTmf9nPAgalw,Honey,2007/9/25 1:24,235,231
hPYRCiQ_OP0rxkpRN19Xiw,Jill,2008/6/20 15:11,283,177
EXXdXcxflkg9moppilHoCA,Kristine,2008/11/27 2:18,340,143
0Igxa1wAstiBDerGxXk2A,Jen,2009/1/14 18:31,8701,2733
t71Zcv_OPf2FL27AYvx86w,Brooke,2010/7/13 16:26,211,67
Kju8Yq1d3mLKitWsDAxpg,DJ,2008/4/22 21:44,17525,793
rdysF0ymVkMX82Bu_8x3nA,Mike,2011/4/16 4:54,155,209
ZZPaQmmnEiL1fyN4qtvJg,Joseph,2008/7/13 16:33,325,206
7Z3QZnc9CFRH_bPRGNOiw,Suzanne,2009/7/23 16:00,1065,323
I4eTqRHq93iElqq4f5istw,Eric,2009/10/10 1:37,2223,1544
p5eKzfGUZ7duXbDM0AM5bA,J,2006/11/3 5:49,2367,843
zftgDC6ecAdXeCDwSztRA,Scot,2011/6/19 20:52,87,123
6WG2IGTVrxKn0pYQZJGjw,Felicia,2008/2/2 3:37,2156,323
nj3syiLs3lABLtPVyL0ivA,Javier,2008/3/5 8:15,9691,1986
vgwdQ0fpDZdoTidJuwYq7w,Colleen,2005/9/19 22:42,1108,1316
7AcGs_uVHFcnoHsKETBy7g,His,2009/5/3 22:07,34,97
sEEGucq7vg0_yT25miGmsA,Charles,2010/5/4 4:15,122,50
UXcOSMHZM2RPWTgjQbKDJg,Daniel,2008/11/4 15:38,188,151
zPPyxgbjhcy2tHo3F1jMXw,Hyun,2012/5/11 21:59,45,88
YoZpDxT33tvGpf2Vgp9yw,Jake,2011/7/25 2:22,38,24
TYwQtORbORzcX22xdYBx1g,Brian,2009/9/5 21:20,217,245
73Z1L0eG5dyBGTKdfx1RA,Donna,2011/6/19 1:23,119,243
StZTVDuFzahNvjl5qu6l7Q,Doug,2009/2/15 20:35,106,352
UlWDGR0QrBbdFsVY6ugocw,Aimee,2010/4/29 14:32,6080,885
EP8o8JnQSI0WEkeodwA8lA,Bobby,2010/4/9 22:16,1720,613
2OiyOHo7CQY05bFwY55HjA,Christopher,2009/12/16 7:31,305,269
EV7Zj6Jyf2tcuFB2Fv1shg,James,2007/5/19 5:27,607,499
rp4ctJtEe8_TnG81B7VKPQ,Joe,2010/5/3 3:57,123,250
mKBl4fAqTfNts7B78aOPVg,Dave,2009/10/11 4:00,1770,752
005GchcM1HWBH3SFKrIxBA,Naomi,2011/10/15 21:42,453,420
knyL5Q53vbgGmEBQLPLxVQ,Joshua,2010/12/27 21:32,210,227
XAlgPQYihaKr3ZsKNYVcg,Krista FussyBritches,2008/8/20 5:48,1128,390
yv60ny6vAK6qDzzsK34Zkw,Valentina,2007/12/19 23:18,1400,256
rX2ChRbTvsjDbxSCoT_SwA,Jessica,2009/6/10 4:13,132,256
iH7pQFG0QusnW03YZc0CBg,Erin,2011/3/3 20:08,4,26
WlWgl1aWl8wGZYUncV2A,Claudine,2008/6/11 21:38,650,1111
rt3MZtOmwB0hohjILz45DQ,Ashley,2008/11/23 2:55,1065,388
qUGMYSGV24KD8QFCdGGIlQ,Alysia,2008/6/11 16:55,3083,647
kuhYz6erOHGKazHex8_KCQ,Ruth,2009/3/26 18:56,187,138
y8jJV4AeH6ZEBagQ_ys8KQ,Jenny,2009/8/25 2:46,516,919
qTMK2qr6ngof4fe29qyooA,Allison,2010/2/28 19:04,655,254
botTbOoIGvO3gPZE_z19Q,MoCe,2010/9/2 13:26,27,164
VVNj3hSE8drWCu8xUXH05Q,Lyrad,2011/8/14 20:59,115,192
KmlAcSovYEagg_UOBb_nSw,Starred,2011/6/11 5:10,4,49
q76sFjjZr3QhUzsA8N1jmg,Ryan,2008/3/25 22:51,238,94
qF0zZHtqaMbFF3UePDCaHg,EmilyAnne,2011/2/9 3:51,550,575
WaEr14aZHSKrfJYkIQesIg,Heather,2009/6/1 2:06,17,104
MnDBbV7OYqplHTdDQyyTXQ,Tim,2008/6/22 14:29,26,38
pJqy6iqFRqVD24CjBc7JKg,Jay,2010/4/11 20:11,60,59
qAj0AkFXL6CY37Tlbqyw,Taylor,2009/6/17 17:45,395,149
6IsVybwkd4CrpaIhutkpFQ,Julienne,2006/7/8 20:09,449,388
MHOOd7OdaBy7JUZ7bcJ09w,Josh,2009/8/28 14:50,74,142
_ShyLzKR9TBbfC6g1xu9yQ,Kat,2008/11/17 21:48,220,210
MT65fT216MAENAaYSIVg,Erin,2009/1/3 20:15,112,152
g35P2UgyRK1ercs6rVkN1Q,Seve',2007/8/15 15:49,430,244
mn_AHwndmHAgZIsu52kYA,Tracy,2007/12/30 8:55,1380,689
YttDgOC9AlM4HcAlDsbB2A,Phil,2009/9/2 15:30,40375,4478
rPR1kPGdiFlQo_CP6LzA,Samantha,2008/11/19 23:50,64,61
68k6KMKuvArOWi8gyL6jlA,Patrick,2010/5/12 21:10,49,145
Yjer78RnYr7OCzirgdcOaw,Louis,2010/2/15 20:13,6845,2157
2SYFAGATQn96D8FZNvaMw,Morgan,2010/9/13 18:21,46,81
KXYRjdlggGw7mwF22ZAJg,Dennis,2008/4/24 19:14,231,450
yKC1QUmOahoNyzsr9PvIaw,Ryan,2008/7/21 18:04,83,103
XlbHxrvkfyadnkmk5hrgw,MJ,2007/6/19 17:59,427,467
61ce4FxaAY3ty3oSMyV_jA,Sonya,2007/11/17 19:42,38,16
BVKJF0OYYy9uqOEmEL37bw,Matt,2007/2/2 19:34,686,1562
p3grx8aw9eowG36jkouWA,Felicia,2009/8/26 1:36,237,428
Pf7FI0OukC_CEcCz0ZxoUw,Don,2007/7/10 21:19,18953,2403
LcBZt_bpU5CqwtDJwB3OCg,Lily,2009/1/1 7:28,1946,509
xqvAeGXOtCKd5z3b7kUauA,Kathi,2009/5/16 22:48,337,269
rTJ3EecGoQNbfFj7mqjDmw,Elizabeth,2009/3/18 3:49,296,529
Ig2ttf1xX2Ihlm0nsykaTw,Ken,2006/3/30 17:39,261,250
bDwBtC0jk3isqLFlxWGWw,Gabriel,2011/7/8 21:40,292,196
_NBVFt_RvD9fKceDT_9Hcw,Cerpin,2009/8/18 14:54,47,39
WfVSrgBDH811lDU1nOg3Wg,Lyndsey,2009/12/15 21:55,196,44
GXn4ZsasLKh0qZ5g3nIqcQ,Michael,2005/1/3 18:01,1158,631
84HvpQDxcHWmbMDfs8IEYw,Chrissy,2007/5/16 18:41,1416,534
ForaPI7k_DZ6n9fsO0T7ZQ,Charles,2009/4/16 17:20,22,57
WgRWwwv0PFPM1CZEyEFog,Liz,2010/7/23 1:53,68,42
HFUeHB1Vao7p0FckY_aJkA,Cheryl,2011/1/6 5:47,6,34
VgVjT8GkeEwW8UAPdMzHg,Eric,2009/2/15 15:06,196,143
hDRGivuKGsWEMSLvAMxyOw,Richard,2010/11/29 18:21,1566,510
Hgpnv2FpaKBi2Q3TKtbsKw,Lena,2007/8/8 6:00,117,49
QDu9DqyixCNXXxnbNV4qqQ,Debbie,2009/4/24 18:28,42,98
bfDzZWI2cldhOYQlgFKoJw,Kelly,2008/1/12 5:36,313,312
1eqy55tfazEXqDvGq2LDFw,allison,2007/3/18 3:12,277,328
CFyvXAZh6cunAMu_zoF_w,Rosalie,2009/3/30 4:58,93,173
T1upaPMzuW7pNj74fO1rjA,S,2009/2/13 21:00,964,562
qnFFo5VDP5Tp2PxFsBNkQ,Terence,2007/11/10 7:29,319,510
TUR21jv1_GCwmeO3ouOBg,Sam,2009/7/11 6:06,370,362
x7UU1bdc2INFrZFwp6yOPw,Camaron,2011/8/20 0:28,251,253
6G05Ix5h5dLc6p8BZsU_Kg,Mark,2010/9/26 17:33,27,70
OrnQ04JCGie8Q2ymFF97FA,Michael,2010/1/11 20:36,5578,1081
w0Eb3PnZFiyQdWqXYKnx3A,Schuyler,2009/11/22 4:25,972,510
kd04Y_VyQzuEhKyvhCsPXQ,Ray,2010/10/6 13:30,586,227
nnImk681KaRqUVHlSfZjGQ,Carlos,2006/7/18 20:46,3165,1107
wxdZQkPIru69o38MBirELQ,Brian,2008/7/25 15:40,192,298
fD14WAdRrqOnGJQBgy33rQ,Gnomer,2010/2/9 14:07,56,64
kfiBpwAZFxAo_RcrBmQjbA,Jenny,2010/2/6 4:54,497,313
VoANq2xMo8GkmDh8ldOLIA,Emily,2010/7/8 22:11,79,57
xO_S6pZP3MX3bOrdcrdnWA,Katherine,2010/2/19 3:25,14,46
3PB1TY8e8NnnHBHTb96p7Q,Casey,2010/9/8 18:12,177,227
fhwuZ10KVyE9xBkRmZFgQ,Pamela,2009/5/29 13:42,38,115
tdfqcb5OzVJ2hHnsYarnyQ,Mikey,2008/12/27 4:40,1436,532
3CwMwbY9UgPqvTDxNs_0g,Michele,2009/7/29 19:31,16359,1374
svHFCz1eUWbVyGuP2KVAAQ,Dana,2008/2/13 17:08,55,40
nabJKapjKahYfTtnBDG6JQ,Kinga,2010/4/9 1:13,1971,657
Jt3GylPuH64uA3zTdbMdCg,Dana,2008/1/8 2:17,544,881
ALWSjow1qxW4SFFZ0ZNB6Q,Jeremy,2008/8/19 15:55,147,94
DwIetk5y9m6AypCjPux6RQ,Maria,2011/11/28 15:50,807,233
3DxHjoFkMlmgd8qhZhgWWw,Tom,2009/6/18 21:29,11,95
tZLvr4GvHS_qj0RslWjJjw,Heesun,2008/11/26 6:33,69,104
VP0oebWjhOr6RcYaetpkw,Jen,2009/5/24 11:03,8,13
7qY2KOV9OsvlT2qB6NgDA,Celeste,2009/4/6 0:55,751,616
1O638BDK_fWuxgTVJwffA,Rob,2008/1/2 5:38,5847,3008
3wmJc1Bn99Nx9UtO3MIfiw,Sue,2007/7/4 2:51,39,82
hlPOotTeYCyd5TQAKpv5LQ,Meghan,2009/2/6 16:25,852,1133
BrDZXyKsuOdZkUoDOL2WQ,Bill,2011/8/29 12:59,33,139
Oi1qbcz2m2SnwUeztGYcnQ,Steven,2010/3/19 16:40,23028,1371
WRLtzAtowE1Bo8yn5WGsVA,Ivy,2010/8/3 23:43,41,142
hpw7UrWf51aaWKbaGGJ2hA,Justin,2007/8/25 0:36,5534,698
V4KUFOs8M23uj61VKVNKAw,Jennifer,2009/4/26 20:48,133,188
MypOSyVruGtBmDAT7FicRQ,Lauren,2009/6/5 23:14,876,385
8MKygqfspKqG2X9ycROw,Hunter,2008/1/2 3:56,384,189
034cPv7513J_15IdRTHTw,Tej,2011/10/13 5:55,51,177
jt49xjEjQisu6wTTGn6B3A,Annette,2010/7/1 22:09,15257,1951
qFYTvzTuZLL7bwrPCZaiAg,Matthew,2011/7/24 1:29,16,15
xqs3gmQ3TuxGniwSAbNUA,Rebecca,2011/2/19 13:32,28,19
pMGnea8RrjFwogKOwQ0xQ,Liz,2011/8/9 6:10,111,223
oXHd9HUOGd9Lk_3nUNDYVA,Tom,2008/10/4 19:38,1015,188
_WPkP4pTd_oyqmSh9xnnsg,Monda,2008/3/11 20:08,23,37
9WFy3YGJUy5cCRMIrwyu6g,Jennifer,2008/7/24 20:01,257,307
lvfHxioG1mJZ8CNcRYKOw,Jason,2007/5/17 14:54,189,74
toQe9adQWV7iC7KM_eugsA,Sarah,2010/4/22 6:45,232,210
26YpEJpa4uwJ60ezG9MIfQ,Ian,2006/4/17 19:36,272,214
H8evlZitNdbCar4jqG_lZw,Angela,2010/12/21 21:09,485,143
oSeE_p_gYxI82APPWJhJjg,Jim,2008/1/8 1:55,669,324
WPl2gULxrrh_GoypMzHFA,P,2009/7/19 21:37,3343,1594
oAhoFRRKomodbIx8jtKmKA,Kerry,2011/3/8 21:40,467,277
vHcprOKPC1_F5_15t4JDw,Christopher,2006/10/22 18:52,2633,2035
gVUtrEhYXrmnVWDyW2VBqg,William,2011/3/21 20:14,174,489
5a7o8Z_jc1pabjavUjWyiQ,Alice,2011/7/21 3:25,119,45
qI3uzegMdq3q3WxAajECGw,Tara,2009/8/11 15:58,8919,961
EO1Cz15wYnHQ0aGc9T6tzw,Franco,2007/5/10 14:52,6332,2340
c44_AG2igjQoB1wqy0nBw,Tom,2010/6/22 16:06,2,5
CDMDkgXB8kdo3DASMFtf2w,Melynda,2009/9/2 21:37,36,46
rCk0JPoMfHI7h2X0brm2w,Rashid,2009/8/27 20:37,612,1055
U631LMGO5E3GxVJt535dHA,Chrissie,2009/12/22 18:44,116,102
h3KpLypa9SZEw2ydFNC19Q,Alvin,2010/6/7 19:55,1184,783
T9AtZPYC4W81rylyvOOmQQ,David,2009/2/28 23:26,409,345
6HaXYb9P_XfSrKVgjkt2Bw,Joshua,2010/4/5 4:31,217,97
